,age,income,membership_days,gender_F,gender_M,gender_O,offer_completed_after_view,reward,difficulty,duration,offer_type,email,mobile,social,web
2075,94.0,84000.0,603,1,0,0,False,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
14064,43.0,60000.0,4,1,0,0,True,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
17224,56.0,64000.0,777,0,1,0,False,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
32584,62.0,80000.0,806,0,1,0,False,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
31252,65.0,73000.0,213,0,1,0,False,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
30604,43.0,60000.0,206,0,1,0,False,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
7536,57.0,97000.0,361,1,0,0,True,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
20162,51.0,78000.0,345,1,0,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
43806,55.0,80000.0,277,0,0,1,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
4754,23.0,54000.0,363,0,1,0,False,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
14072,40.0,69000.0,756,0,1,0,True,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
14291,50.0,65000.0,354,1,0,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
39923,62.0,65000.0,341,0,1,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
4466,32.0,55000.0,325,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
3165,67.0,102000.0,43,1,0,0,False,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
26494,24.0,59000.0,129,0,1,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
9812,24.0,42000.0,137,0,1,0,False,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
36295,78.0,55000.0,0,1,0,0,False,0.0,0.0,4.0,informational,1.0,1.0,0.0,1.0
26790,20.0,43000.0,936,0,1,0,False,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
7069,79.0,55000.0,898,1,0,0,False,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
22651,62.0,67000.0,413,0,0,1,False,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
12744,73.0,78000.0,668,0,1,0,True,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
39734,31.0,36000.0,71,0,1,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
14071,40.0,69000.0,756,0,1,0,False,0.0,0.0,4.0,informational,1.0,1.0,0.0,1.0
28075,81.0,110000.0,202,1,0,0,False,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
28220,42.0,54000.0,217,0,1,0,False,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
13038,51.0,49000.0,136,0,1,0,False,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
35292,56.0,79000.0,993,0,1,0,True,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
41081,52.0,56000.0,1636,0,1,0,True,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
41560,44.0,70000.0,245,0,1,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
10588,26.0,57000.0,452,1,0,0,False,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
12074,62.0,42000.0,249,0,1,0,True,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
10193,70.0,71000.0,82,1,0,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
3243,81.0,33000.0,1081,1,0,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
2377,61.0,100000.0,1062,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
1029,59.0,59000.0,191,1,0,0,True,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
18009,59.0,85000.0,970,0,1,0,True,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
19732,18.0,66000.0,182,0,1,0,False,0.0,0.0,4.0,informational,1.0,1.0,0.0,1.0
24342,51.0,34000.0,49,0,1,0,False,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
31454,45.0,62000.0,1073,0,1,0,True,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
17608,49.0,64000.0,881,0,1,0,True,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
24919,47.0,66000.0,259,1,0,0,False,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
29073,70.0,74000.0,724,0,1,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
33752,63.0,88000.0,1068,1,0,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
18217,64.0,42000.0,992,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
25767,31.0,56000.0,72,0,1,0,False,0.0,0.0,4.0,informational,1.0,1.0,0.0,1.0
33596,77.0,84000.0,911,0,1,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
46874,19.0,53000.0,323,0,1,0,False,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
17751,49.0,70000.0,1542,0,1,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
41582,40.0,41000.0,531,0,1,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
41786,69.0,71000.0,95,0,1,0,False,0.0,0.0,4.0,informational,1.0,1.0,0.0,1.0
1142,36.0,58000.0,459,1,0,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
7365,39.0,32000.0,1240,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
7454,18.0,73000.0,279,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
22685,54.0,86000.0,364,0,1,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
32218,40.0,48000.0,185,0,1,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
38505,40.0,64000.0,1014,1,0,0,False,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
29676,41.0,59000.0,736,0,1,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
31238,52.0,63000.0,943,0,1,0,True,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
1918,70.0,35000.0,144,0,1,0,False,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
34097,74.0,66000.0,501,1,0,0,True,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
31157,35.0,32000.0,385,0,1,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
27791,28.0,64000.0,295,0,1,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
24942,28.0,44000.0,377,0,1,0,True,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
10148,42.0,86000.0,287,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
14806,67.0,109000.0,1002,1,0,0,True,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
24126,64.0,119000.0,164,1,0,0,False,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
34019,27.0,41000.0,772,0,1,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
28781,52.0,67000.0,841,0,1,0,False,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
2008,72.0,60000.0,1807,1,0,0,True,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
19955,70.0,99000.0,889,1,0,0,True,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
42764,57.0,110000.0,386,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
21585,72.0,94000.0,412,1,0,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
20672,30.0,68000.0,225,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
19685,58.0,78000.0,617,0,1,0,True,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
2901,33.0,43000.0,993,1,0,0,False,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
18055,67.0,82000.0,546,1,0,0,True,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
46583,42.0,56000.0,557,0,1,0,False,0.0,0.0,4.0,informational,1.0,1.0,0.0,1.0
14959,47.0,74000.0,154,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
40593,65.0,81000.0,125,1,0,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
27629,51.0,69000.0,433,0,0,1,False,0.0,0.0,4.0,informational,1.0,1.0,0.0,1.0
16937,64.0,96000.0,1684,0,1,0,False,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
31573,39.0,59000.0,892,1,0,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
13274,52.0,99000.0,136,0,1,0,False,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
15495,30.0,62000.0,290,0,1,0,True,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
29740,48.0,87000.0,464,1,0,0,False,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
41688,55.0,71000.0,208,0,1,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
19610,62.0,92000.0,298,1,0,0,False,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
2168,62.0,81000.0,769,1,0,0,False,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
1118,43.0,52000.0,896,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
5133,66.0,115000.0,915,1,0,0,True,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
35939,90.0,108000.0,34,0,1,0,False,0.0,0.0,4.0,informational,1.0,1.0,0.0,1.0
21044,67.0,70000.0,656,1,0,0,True,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
14900,41.0,36000.0,315,0,1,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
42889,38.0,72000.0,88,1,0,0,False,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
31246,66.0,34000.0,634,0,1,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
38721,67.0,97000.0,641,0,1,0,True,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
25367,52.0,76000.0,298,1,0,0,False,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
12171,53.0,53000.0,358,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
13573,51.0,56000.0,866,1,0,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
31242,63.0,54000.0,216,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
4727,67.0,101000.0,489,1,0,0,False,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
39840,54.0,67000.0,956,0,1,0,True,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
30000,80.0,81000.0,233,0,1,0,True,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
20411,73.0,61000.0,24,1,0,0,True,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
6607,38.0,47000.0,42,1,0,0,True,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
39341,46.0,38000.0,161,0,1,0,True,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
121,56.0,52000.0,395,1,0,0,False,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
28295,80.0,32000.0,180,0,1,0,False,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
9385,73.0,80000.0,883,0,1,0,False,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
46848,56.0,95000.0,464,0,1,0,True,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
25837,42.0,35000.0,747,1,0,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
18960,66.0,83000.0,714,1,0,0,False,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
14090,33.0,36000.0,645,1,0,0,True,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
12738,49.0,108000.0,416,1,0,0,False,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
31705,82.0,92000.0,894,0,1,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
17643,20.0,40000.0,747,0,1,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
19595,64.0,84000.0,110,1,0,0,False,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
1202,63.0,70000.0,19,1,0,0,False,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
29012,65.0,56000.0,155,1,0,0,True,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
34056,36.0,91000.0,236,1,0,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
22279,55.0,108000.0,94,1,0,0,False,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
36757,95.0,65000.0,287,1,0,0,False,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
8739,66.0,51000.0,434,0,1,0,True,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
25963,18.0,41000.0,745,0,1,0,True,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
3200,20.0,39000.0,233,1,0,0,False,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
14765,20.0,41000.0,61,0,1,0,False,0.0,0.0,4.0,informational,1.0,1.0,0.0,1.0
46140,60.0,73000.0,546,1,0,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
4918,50.0,57000.0,584,0,1,0,False,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
39051,56.0,40000.0,1157,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
19678,38.0,51000.0,13,0,1,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
41621,73.0,62000.0,334,1,0,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
6170,36.0,31000.0,1209,0,1,0,True,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
32152,61.0,81000.0,211,0,1,0,False,0.0,0.0,4.0,informational,1.0,1.0,0.0,1.0
26325,34.0,56000.0,307,1,0,0,False,0.0,0.0,4.0,informational,1.0,1.0,0.0,1.0
44329,31.0,31000.0,648,1,0,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
16187,43.0,86000.0,1814,0,1,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
7283,70.0,37000.0,430,1,0,0,False,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
24015,49.0,65000.0,205,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
16834,64.0,103000.0,863,1,0,0,False,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
31229,51.0,87000.0,248,1,0,0,False,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
32100,71.0,60000.0,219,1,0,0,False,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
19784,58.0,52000.0,390,0,1,0,False,0.0,0.0,4.0,informational,1.0,1.0,0.0,1.0
37754,38.0,55000.0,327,0,1,0,False,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
382,60.0,108000.0,456,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
20533,43.0,56000.0,2,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
14821,59.0,89000.0,573,1,0,0,True,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
14151,65.0,102000.0,295,1,0,0,False,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
35302,82.0,81000.0,122,0,1,0,False,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
23296,29.0,70000.0,308,0,1,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
2119,56.0,82000.0,568,1,0,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
32320,66.0,96000.0,438,1,0,0,False,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
21026,47.0,52000.0,272,1,0,0,False,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
5627,59.0,70000.0,323,0,1,0,False,0.0,0.0,4.0,informational,1.0,1.0,0.0,1.0
27190,61.0,57000.0,720,0,1,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
19315,37.0,89000.0,977,1,0,0,True,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
2886,38.0,72000.0,365,1,0,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
31571,39.0,59000.0,892,1,0,0,True,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
43371,44.0,81000.0,847,1,0,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
5536,65.0,75000.0,315,1,0,0,True,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
8319,42.0,59000.0,364,0,1,0,False,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
39400,50.0,57000.0,339,1,0,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
21620,62.0,31000.0,888,1,0,0,False,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
12818,81.0,69000.0,471,0,1,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
38792,32.0,40000.0,1691,0,1,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
373,59.0,85000.0,1051,1,0,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
5195,74.0,73000.0,122,0,1,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
2387,59.0,108000.0,333,0,1,0,False,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
4683,40.0,69000.0,341,1,0,0,False,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
15356,37.0,56000.0,97,0,1,0,True,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
3351,44.0,63000.0,293,1,0,0,False,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
42885,55.0,66000.0,991,1,0,0,True,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
38921,50.0,76000.0,338,1,0,0,False,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
6144,55.0,75000.0,282,1,0,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
2655,65.0,79000.0,1501,1,0,0,True,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
37272,40.0,38000.0,1527,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
16983,72.0,57000.0,220,1,0,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
33341,73.0,94000.0,163,1,0,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
2735,42.0,56000.0,905,1,0,0,True,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
7851,62.0,73000.0,282,1,0,0,True,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
23999,21.0,56000.0,1510,0,1,0,False,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
30913,58.0,112000.0,32,0,1,0,False,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
12101,58.0,115000.0,227,1,0,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
837,52.0,85000.0,1553,0,1,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
12903,65.0,50000.0,284,0,1,0,False,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
9391,67.0,89000.0,37,0,1,0,True,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
2754,63.0,90000.0,101,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
20816,86.0,76000.0,909,1,0,0,False,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
11889,54.0,103000.0,261,1,0,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
4608,63.0,97000.0,1340,0,1,0,False,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
25577,48.0,100000.0,255,0,1,0,True,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
25912,65.0,59000.0,521,0,1,0,True,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
35856,52.0,88000.0,501,1,0,0,True,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
4762,65.0,72000.0,131,1,0,0,True,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
39975,43.0,31000.0,324,1,0,0,False,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
21013,36.0,91000.0,17,0,1,0,True,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
28768,71.0,82000.0,513,0,1,0,False,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
39966,43.0,31000.0,327,0,1,0,False,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
18096,66.0,95000.0,625,0,1,0,True,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
14484,67.0,92000.0,751,0,1,0,False,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
7409,53.0,116000.0,264,1,0,0,False,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
38732,50.0,92000.0,676,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
17815,64.0,77000.0,91,0,1,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
10018,71.0,69000.0,57,0,1,0,False,0.0,0.0,4.0,informational,1.0,1.0,0.0,1.0
19267,67.0,74000.0,230,1,0,0,False,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
22108,23.0,32000.0,196,0,1,0,True,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
3388,26.0,69000.0,63,1,0,0,False,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
32718,41.0,80000.0,91,0,1,0,False,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
20305,44.0,56000.0,914,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
31742,45.0,55000.0,60,1,0,0,False,5.0,5.0,7.0,bogo,1.0,1.0,0.0,1.0
2437,47.0,69000.0,647,0,1,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
45384,49.0,91000.0,252,0,0,1,True,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
24598,74.0,98000.0,1362,1,0,0,False,0.0,0.0,4.0,informational,1.0,1.0,0.0,1.0
9420,61.0,53000.0,910,0,1,0,True,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
27438,54.0,64000.0,352,1,0,0,True,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
16405,45.0,51000.0,780,0,1,0,False,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
19476,23.0,40000.0,322,0,1,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
22210,52.0,69000.0,269,0,1,0,True,2.0,10.0,10.0,discount,1.0,1.0,1.0,1.0
21311,46.0,76000.0,1755,0,1,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
13008,46.0,73000.0,196,1,0,0,False,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
15288,37.0,99000.0,911,0,1,0,False,0.0,0.0,3.0,informational,1.0,1.0,1.0,0.0
26907,59.0,85000.0,793,0,1,0,False,10.0,10.0,5.0,bogo,1.0,1.0,1.0,1.0
32607,71.0,99000.0,267,1,0,0,False,2.0,10.0,7.0,discount,1.0,1.0,0.0,1.0
32589,78.0,89000.0,164,1,0,0,True,5.0,20.0,10.0,discount,1.0,0.0,0.0,1.0
26869,66.0,90000.0,396,1,0,0,True,3.0,7.0,7.0,discount,1.0,1.0,1.0,1.0
12894,59.0,105000.0,374,0,1,0,True,5.0,5.0,5.0,bogo,1.0,1.0,1.0,1.0
17942,74.0,65000.0,1019,1,0,0,False,10.0,10.0,7.0,bogo,1.0,1.0,1.0,0.0
